# Reference data created by proj.4
#
# code,lat,lon,east,north
EPSG:3857,-40.8116791693327,32.6420876988857,3633700.581069336,-4984603.941505691
EPSG:3857,-29.4417358756457,-154.905440514176,-17243994.759145807,-3431990.154071398
EPSG:3857,82.452377555805,30.510890627624,3396456.808316368,17340202.725330792
EPSG:32601,19.4087951683565,-180.906419819276,89614.746703488,2150714.782362028
EPSG:32601,17.3052054076988,-175.991851391613,607139.973643014,1913599.293966420
EPSG:32601,80.7780049057341,-180.884565937429,430550.247457922,8970749.835898787
EPSG:32701,-53.6002834463498,-180.741756299626,252438.000349676,4054439.053367374
EPSG:32701,-2.97963371307137,-178.438733473477,340103.150062555,9670553.597178606
EPSG:32701,-3.11267656995054,-175.444415599815,672865.183827235,9655824.872080058
EPSG:32602,-0.970537109587504,-169.459089537346,671461.118427911,-107312.675099449
EPSG:32602,44.7494851998004,-167.868947378347,747849.048887131,4959892.025832582
EPSG:32602,76.3520174436132,-173.242761128763,440940.463529580,8475588.618208217
EPSG:32702,-44.7849152116214,-169.002742069672,658002.586426524,5039001.978170268
EPSG:32702,-33.8887813997922,-168.775115064382,705750.401718619,6247947.502623306
EPSG:32702,-58.1557408769167,-175.822624480291,216325.923481710,3543799.565327559
EPSG:32603,55.3010272947202,-169.692957569048,202167.441199103,6138327.664897406
EPSG:32603,38.9603028846037,-166.944420757658,331528.313317780,4314169.232684245
EPSG:32603,52.883893418592,-164.259412652145,549833.942787715,5859611.583296099
EPSG:32703,-55.1424210130029,-160.95898761242,757507.152999977,3881903.272064425
EPSG:32703,-37.8660962891746,-169.823205614091,75642.199308063,5798063.372821111
EPSG:32703,-51.2288841106209,-163.27041338489,620762.367968685,4323300.544647876
EPSG:32604,5.06283616303119,-163.628411463113,-13584.190046693,561443.756126302
EPSG:32604,33.4795658001487,-157.485704977839,640695.362742546,3705479.484148214
EPSG:32604,1.94049302826979,-162.396537043388,122043.340866021,214863.288941846
EPSG:32704,-36.1518580125997,-156.636315632243,712642.573551171,5996619.674785414
EPSG:32704,-11.9531481795669,-163.826949657644,-26120.958456575,8674029.112686940
EPSG:32704,-37.1459991176773,-159.355580375675,468422.395092492,5888872.103846515
EPSG:32605,63.3270896210933,-148.653753285094,717557.027024862,7029411.840373332
EPSG:32605,3.45648858083795,-154.551493099492,327648.572577839,382191.208324341
EPSG:32605,25.7977286987314,-156.850605524479,113801.007915582,2858937.231697868
EPSG:32705,-58.1068151624929,-156.904015995854,270002.942048711,3552740.822545933
EPSG:32705,-3.10940098394073,-156.276773506665,135711.568231616,9655748.869734984
EPSG:32705,-25.0545461701924,-155.826742883974,214805.540520207,7226031.532879836
EPSG:32606,62.7198437797641,-151.888804596965,250175.532865530,6963856.611144072
EPSG:32606,26.8012029752844,-142.354477151757,962016.536009535,2972874.433298178
EPSG:32606,64.095885898426,-146.577147118968,520611.631398977,7107767.480558453
EPSG:32706,-73.7440379662172,-148.085117009216,466096.557320452,1816209.388675321
EPSG:32706,-4.64954581639734,-146.794256954213,522819.259643623,9486070.852079634
EPSG:32706,-29.9243222530081,-145.993899868692,597112.095748065,6689174.938432191
EPSG:32607,56.3210164811218,-141.082277080543,494911.174852335,6241811.827514505
EPSG:32607,35.8664774828557,-144.172028309006,213585.250297013,3973786.965175584
EPSG:32607,7.59511077948712,-136.140138281411,1036693.494909489,842551.001899074
EPSG:32707,-2.73995811193981,-138.685216621187,757355.103888790,9696901.372125015
EPSG:32707,-80.9598171650203,-142.541509763771,472962.440300073,1010921.699502563
EPSG:32707,-45.3386554672465,-143.509743747391,303363.170021642,4976363.947983938
EPSG:32608,69.2289581035238,-130.069787638515,694947.237134147,7687740.718224108
EPSG:32608,-2.71718091706628,-130.436909887043,1007728.831214799,-301292.390952090
EPSG:32608,65.3816749026876,-137.91135651964,364710.160923918,7254118.281302969
EPSG:32708,-47.6987952174849,-137.837854530036,287087.627551308,4713275.199710007
EPSG:32708,2.43351286830244,-137.774554261529,191417.143783194,10269295.345494615
EPSG:32708,-12.6526479060193,-138.989737561138,66434.644898334,8597965.678133437
EPSG:32609,56.6283440441105,-131.103721452845,370943.605765953,6277995.139237933
EPSG:32609,25.3333453587362,-129.365296737453,463237.929969778,2801909.578793925
EPSG:32609,75.2498414745879,-127.753785095597,535415.272661358,8351855.339597097
EPSG:32709,0.0248714207988883,-132.808508646933,75893.846228015,10002755.164804673
EPSG:32709,-35.3794199143582,-131.193119293929,300786.236524157,6082671.265827253
EPSG:32709,-84.4994645647128,-133.130980585538,455828.585062744,614561.232232584
EPSG:32610,64.0028850602441,-118.016804134126,743524.445725973,7106862.480146957
EPSG:32610,18.4557506813228,-123.48202201866,449104.093186319,2040676.996774906
EPSG:32610,72.476901971238,-123.378476630189,487280.894731993,8042168.280444268
EPSG:32710,4.49011124241113,-120.329070793897,796408.227364568,10496843.556147262
EPSG:32710,-31.0119912534553,-123.080094013157,492354.695867684,6569066.379757389
EPSG:32710,-4.62175196886091,-123.337015422158,462619.535812844,9489137.571502531
EPSG:32611,55.5648402377951,-119.282219132071,356081.506975217,6160013.748880116
EPSG:32611,15.710772944108,-119.501444917434,231911.700925909,1738528.504234467
EPSG:32611,69.0096798670286,-116.993749685205,500249.866580106,7655441.502654839
EPSG:32711,-66.9190139375838,-121.062206257327,322392.062153923,2571852.663961114
EPSG:32711,-35.7651323374779,-120.143956786757,215759.275420516,6037540.684403835
EPSG:32711,-15.4072401122886,-117.833840871662,410525.059823264,8296457.647061219
EPSG:32612,30.7235080890554,-106.699633371787,911904.906908957,3406866.998532660
EPSG:32612,24.3148757488543,-115.316240060159,61789.559859454,2695893.320017900
EPSG:32612,43.4727125549668,-107.128188525685,813167.913698624,4820596.654082145
EPSG:32712,-43.6222261454364,-111.313689257204,474691.211388830,5170036.479015402
EPSG:32712,-41.8432915367835,-107.779519368852,767381.645172717,5362607.008002789
EPSG:32712,-31.2978568719377,-113.658596977335,246944.427552857,6534335.984268273
EPSG:32613,62.3304672913525,-101.315057007699,690838.647586553,6916433.137061611
EPSG:32613,44.3982230656957,-104.216610463965,562385.991710149,4916402.548969606
EPSG:32613,46.2683765607603,-101.094876654333,800907.331623017,5131282.078969186
EPSG:32713,-84.7554294622323,-107.695240901332,472504.316056505,586927.069290356
EPSG:32713,-42.2355171861202,-101.980293694563,749171.903436218,5319658.239892169
EPSG:32713,-47.5589371785813,-105.285040910429,478556.635397600,4732680.820876368
EPSG:32614,49.9597929841853,-97.950796622052,575255.308993714,5534687.869682715
EPSG:32614,79.1600173472658,-99.0710303090308,498508.717751849,8787834.267153619
EPSG:32614,63.3381179426504,-101.495103730546,375104.154387513,7025693.079085871
EPSG:32714,-28.0502882212675,-96.0464371485616,790339.050009759,6893705.865951451
EPSG:32714,-23.4436973388414,-103.234932641174,67157.929253971,7400989.655397183
EPSG:32714,-59.534261749486,-94.8686442217787,733570.205385695,3393192.166590536
EPSG:32615,83.1399904728695,-92.5888495128134,505482.722879342,9232106.088660946
EPSG:32615,38.5382259954574,-89.9899909397768,762354.866739359,4269830.834680779
EPSG:32615,65.4561424569162,-96.4881775154496,338384.825781161,7263769.237468482
EPSG:32715,-17.5210296877215,-91.0890110798812,702872.420153348,8061785.770994852
EPSG:32715,-64.7765448450173,-88.8170012143203,698789.959331353,2809880.045923936
EPSG:32715,-77.4248840050029,-89.7797727824478,578228.181142787,1403666.085121284
EPSG:32616,53.3779187653006,-84.0571642914532,695741.212743609,5918348.226039802
EPSG:32616,80.7197130837388,-83.1909626994934,568527.993999175,8964167.430393068
EPSG:32616,26.8906117804036,-87.8639318959485,414200.117397172,2974612.169113849
EPSG:32716,-14.5601047693637,-89.3287057464202,249081.512604788,8389045.032120641
EPSG:32716,-12.5627351364075,-91.3595352400398,26015.094865285,8607291.172001386
EPSG:32716,-43.4224207710441,-83.1580698548757,811008.765616317,5185101.406850921
